Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-355786.1,22-355786.1,Wynn Encore Boston,"1 Broadway, EVERETT, MA 02149",§3.0 - PROPERTY CHARACTERISTICS,"","",0,"","",,"January 28, 2022","February 23, 2022","March 09, 2022",$0.00,$0.00,$0.00,x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/406036,,,,,,
22-355786.2,22-355786.2,Wynn Encore Boston,"1 Broadway, EVERETT, MA 02149",Hospitality,"",0,"","","",,"January 28, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/406037,,,,,,
21-350533.1,21-350533.1,The Barkley Pet Hotel & Day Camp,"27349 Miles Road, Chagrin Falls, OH 44022",Retail,"",0,0,"","",,"December 13, 2021","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/394272,,,,,,
21-350533.2,21-350533.2,Tails Up,"401 South Gilbert Street, Castle Rock, CO 80104",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402854,,,,,,
21-350533.3,21-350533.3,Hillside Animal Hospital,"11495 North 136th Street, Scottsdale, AZ 85259",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402855,,,,,,
21-350533.4,21-350533.4,Tieton Drive Animal Clinic,"3901 Tieton Drive, Yakima, WA 98902",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402856,,,,,,
21-350533.5,21-350533.5,Ferry Farm Animal Clinic,"386 Kings Highway, Fredericksburg, VA 22405",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402857,,,,,,
21-350533.6,21-350533.6,Lenoir Veterinary Hospital,"2309 Lakeside Terrace Circle SE, Lenoir, NC 28645",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402858,,,,,,
21-350533.7,21-350533.7,College Mall Veterinary Hospital,"4517 E Morningside Drive, Bloomington, IN 47408",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402859,,,,,,
21-350533.8,21-350533.8,Animal Medical Care Center Yorktown,"2816 George Washington Memorial Highway, Yorktown, VA 23693",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402860,,,,,,
