Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
21-326416.68,21-326416.68,Caliber Collision,"1005 Thomas Street, HAMPTON, VA 23669",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341603,,,,,,
21-326416.69,21-326416.69,Caliber Collision,"3116 South Main Street, HARRISONBURG, VA 22801",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341604,,,,,,
21-326416.70,21-326416.70,Caliber Collision,"4004 Murray Place, LYNCHBURG, VA 24501",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341605,,,,,,
21-326416.71,21-326416.71,Caliber Collision,"736 Grove Road, MIDLOTHIAN, VA 23114",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341606,,,,,,
21-326416.72,21-326416.72,Caliber Collision,"10811 Paulbrook Drive, MIDLOTHIAN, VA 23112",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341607,,,,,,
21-326416.73,21-326416.73,Caliber Collision,"9907 Jefferson Avenue, NEWPORT NEWS, VA 23605",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341608,,,,,,
21-326416.74,21-326416.74,Caliber Collision,"2615 and 2701 Airline Boulevard, PORTSMOUTH, VA 23701",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341609,,,,,,
21-326416.75,21-326416.75,Caliber Collision,"2820 Hull Street, RICHMOND, VA 23224",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341610,,,,,,
21-326416.76,21-326416.76,Caliber Collision,"1310 Barterbrook Road, STAUNTON, VA 24401",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341611,,,,,,
21-326416.77,21-326416.77,Caliber Collision,"1121, 1336, 1145, and 1228 Jensen Drive, VIRGINIA BEACH, VA 23451",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341612,,,,,,
21-326416.78,21-326416.78,Caliber Collision,"4550 – 4552 Carolina Beach Road, WILMINGTON, NC 28412",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341613,,,,,,
21-326416.79,21-326416.79,Caliber Collision,"2 Pine Street, COHOES, NY 12047",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341622,,,,,,
21-326416.80,21-326416.80,Caliber Collision,"1416 Pompton Avenue, CEDAR GROVE, NJ 07009",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341623,,,,,,
21-326416.81,21-326416.81,Caliber Collision,"404 Route 50, MAYS LANDING, NJ 08330",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341624,,,,,,
21-326416.82,21-326416.82,Caliber Collision,"904 North Black Horse Pike, RUNNEMEDE, NJ 08078",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341625,,,,,,
21-326416.83,21-326416.83,Caliber Collision,"1956, 2011, 2033 Walbert Avenue and 1974 Huckleberry Road, ALLENTOWN, PA 18104",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341626,,,,,,
21-326416.84,21-326416.84,Caliber Collision,"1500 Orchard Drive, CHAMBERSBURG, PA 17201",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341627,,,,,,
21-326416.85,21-326416.85,Caliber Collision,"960 Main Street, DICKSON CITY, PA 18508",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341628,,,,,,
21-326416.86,21-326416.86,Caliber Collision,"281 Philmont Avenue, FEASTERVILLE, PA 19053",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341629,,,,,,
21-326416.87,21-326416.87,Caliber Collision,"108 and 210 North Chester Pike, GLENOLDEN, PA 19036",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341630,,,,,,
21-326416.88,21-326416.88,Caliber Collision,"777 Baltimore Street, HANOVER, PA 17331",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341631,,,,,,
21-326416.89,21-326416.89,Caliber Collision,"324, 328 and 332 South York Road, HATBORO, PA 19040",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341632,,,,,,
21-326416.90,21-326416.90,Caliber Collision,"2500 Cumberland Street, LEBANON, PA 17042",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341633,,,,,,
21-326416.91,21-326416.91,Caliber Collision,"6524 New Falls Road, LEVITTOWN, PA 19057",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341634,,,,,,
21-326416.92,21-326416.92,Caliber Collision,"731-769 Rue Madora Drive, BEAR, DE 19701",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341635,,,,,,
21-326416.93,21-326416.93,Caliber Collision,"2300 and 2302 N. Howard Street, BALTIMORE, MD 21218",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341636,,,,,,
21-326416.94,21-326416.94,Caliber Collision,"8000 Old Branch Avenue, CLINTON, MD 20735",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341637,,,,,,
21-326416.95,21-326416.95,Caliber Collision,"7716 Ocean Gateway, EASTON, MD 21601",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341638,,,,,,
21-326416.96,21-326416.96,Caliber Collision,"101 Ann Avenue, ESSEX, MD 21221",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341639,,,,,,
21-326416.97,21-326416.97,Caliber Collision,"367 East Franklin Street, HAGERSTOWN, MD 21740",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341640,,,,,,
21-326416.98,21-326416.98,Caliber Collision,"1715 Pulaski Highway, HAVRE DE GRACE, MD 21078",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341641,,,,,,
21-326416.99,21-326416.99,Caliber Collision,"21578 Great Mills Road, LEXINGTON PARK, MD 20653",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341642,,,,,,
21-326416.100,21-326416.100,Caliber Collision,"11602 Reisterstown Road, REISTERSTOWN, MD 21136",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341643,,,,,,
21-326416.101,21-326416.101,Caliber Collision,"416-422, 424 and 432 Snow Hill Road and 431 East 416-422 Vine Street, SALISBURY, MD 21804",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341644,,,,,,
21-326416.102,21-326416.102,Caliber Collision,"4580 Printers Court and 10760 De Marr Road, WHITE PLAINS, MD 20695",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341645,,,,,,
21-326416.103,21-326416.103,Caliber Collision,"117 and 179 Troy Drive, CHARLES TOWN, WV 25414",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341646,,,,,,
21-326416.104,21-326416.104,Caliber Collision,"10015, 10017 and 10019 Jefferson Davis Highway, CHESTERFIELD, VA 23237",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341647,,,,,,
21-326416.105,21-326416.105,Caliber Collision,"3245 Boulevard, COLONIAL HEIGHTS, VA 23834",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341648,,,,,,
21-326416.106,21-326416.106,Caliber Collision,"1003 North King Street, HAMPTON, VA 23669",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341649,,,,,,
21-326416.107,21-326416.107,Caliber Collision,"1005 Thomas Street, HAMPTON, VA 23669",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341650,,,,,,
21-326416.108,21-326416.108,Caliber Collision,"3116 South Main Street, HARRISONBURG, VA 22801",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341651,,,,,,
21-326416.109,21-326416.109,Caliber Collision,"4004 Murray Place, LYNCHBURG, VA 24501",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341652,,,,,,
21-326416.110,21-326416.110,Caliber Collision,"736 Grove Road, MIDLOTHIAN, VA 23114",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341653,,,,,,
21-326416.111,21-326416.111,Caliber Collision,"10811 Paulbrook Drive, MIDLOTHIAN, VA 23112",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341654,,,,,,
21-326416.112,21-326416.112,Caliber Collision,"9907 Jefferson Avenue, NEWPORT NEWS, VA 23605",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341655,,,,,,
21-326416.113,21-326416.113,Caliber Collision,"2615 and 2701 Airline Boulevard, PORTSMOUTH, VA 23701",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341656,,,,,,
21-326416.114,21-326416.114,Caliber Collision,"2820 Hull Street, RICHMOND, VA 23224",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341657,,,,,,
21-326416.115,21-326416.115,Caliber Collision,"1310 Barterbrook Road, STAUNTON, VA 24401",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341658,,,,,,
21-326416.116,21-326416.116,Caliber Collision,"1121, 1336, 1145, and 1228 Jensen Drive, VIRGINIA BEACH, VA 23451",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341659,,,,,,
21-326416.117,21-326416.117,Caliber Collision,"4550 – 4552 Carolina Beach Road, WILMINGTON, NC 28412",Retail,"",0,0,"","",,"July 02, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/341660,,,,,,
21-325309.6,21-325309.6,Family Dollar - Dexter,"188 Spring Street, DEXTER, ME 04930",Retail,"","","11,050",1,1997,,"June 29, 2021","July 20, 2021","August 03, 2021","$56,150.00",$0.00,"$35,980.00",x,,,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/340413,,,,,,
21-319488.1,21-319488.1,Komatsu - Charleroi,"220 Simko Boulevard, CHARLEROI, PA 15022",Industrial,"","","249,666","Two-story office space, one floor warehouse space",2021,,"June 25, 2021","July 16, 2021","August 19, 2021","$59,300.00",$0.00,"$139,500.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339570,,,,,,
21-319488.2,21-319488.2,Komatsu - Charleroi,"220 Simko Boulevard, CHARLEROI, PA 15022",Industrial,"",29.03,"","","",,"June 25, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339571,,,,,,
21-319488.3,21-319488.3,Komatsu - Charleroi,"220 Simko Boulevard, CHARLEROI, PA 15022",Industrial,"",29.03,"","","",,"June 25, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339572,,,,,,
21-326840.1,21-326840.1,Salamanca II Portfolio - Carrefour El Saler,"Avenida Del Professor Lopez Pinero, 16, Valencia, ES 46013",Retail,"",0,0,"","",,"June 28, 2021","July 27, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339801,,,,,,
21-326840.2,21-326840.2,Salamanca II Portfolio - Carrefour Goierri,"Poligono Industrial, 201 Barrio, Olaberria, ES 20212",Retail,"",0,0,"","",,"June 28, 2021","July 28, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339802,,,,,,
21-326840.3,21-326840.3,Salamanca II Portfolio - Carrefour El Ferial,"Carr. Pinto-Parla, S/N, Parla, ES 28982",Retail,"",0,0,"","",,"June 28, 2021","July 28, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339803,,,,,,
21-326840.4,21-326840.4,Salamanca II Portfolio - Carrefour Las Huertas,"Ave. De Madrid, 37, Palencia, ES 34004",Retail,"",0,0,"","",,"June 28, 2021","July 23, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339804,,,,,,
21-326840.5,21-326840.5,Salamanca II Portfolio - Carrefour Meridiano,"Av. Manuel Hermoso, 16, Santa Cruz de Tenerife, ES 38005",Retail,"",0,0,"","",,"June 28, 2021","July 28, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339805,,,,,,
21-326840.6,21-326840.6,Salamanca II Portfolio - Carrefour Vecindario,"Av. Del Atlantico, 359, Vecindario, Las Palmas, ES 35110",Retail,"",0,0,"","",,"June 28, 2021","July 23, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339806,,,,,,
21-326840.7,21-326840.7,Salamanca II Portfolio - Carrefour Pamplona,"Avenida Baranain, S/N, Pamplona, ES 31008",Retail,"",0,0,"","",,"June 28, 2021","July 28, 2021","September 22, 2021",,,,x,,x,,,,6,Realty Income Corporation,,,https://www.SiteLynx.net/projects/339807,,,,,,
21-326287.7,21-326287.7,Dollar Tree - Seminole,"1708 Hobbs Highway, Seminole Texas","Retail, office, industrial",None present,"","10,106",1,2021,,"June 22, 2021","August 02, 2021","September 08, 2021",$0.00,$0.00,"$16,000.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337687,,,,,,
21-326287.8,21-326287.8,Family Dollar - McCamey,"100 North Burleson, McCamey, TX 79752","Retail, office, industrial",None present,"","9,180",1,2020,,"June 22, 2021","August 02, 2021","August 24, 2021",$0.00,$0.00,"$4,900.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337688,,,,,,
21-326287.9,21-326287.9,Dollar Tree - Seminole,"1708 Hobbs Highway, Seminole, TX 79360",Retail,"",0,0,"","",,"June 22, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337689,,,,,,
21-326287.10,21-326287.10,Family Dollar - McCamey,"100 North Burleson, McCamey, TX 79752",Retail,"",0,0,"","",,"June 22, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337690,,,,,,
21-326287.11,21-326287.11,Dollar Tree - Seminole,"1708 Hobbs Highway, Seminole, TX 79360",Retail,"",0,0,"","",,"June 22, 2021",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337691,,,,,,
21-326287.12,21-326287.12,Dollar Tree - McCamey,"100 North Burleson, McCamey, TX 79752",Retail,"",0,0,"","",,"June 22, 2021",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/337692,,,,,,
21-323259.1,21-323259.1,Miller Tools,"281-283 Lies Road East, CAROL STREAM, IL 60188","Retail, office, industrial","","","37,744",1,1997,,"June 29, 2021","July 13, 2021","August 02, 2021","$38,400.00",$0.00,"$423,400.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/340251,,,,,,
21-323259.2,21-323259.2,Miller Tools,"281-283 Lies Road East, CAROL STREAM, IL 60188",Retail,"",2.16,"","","",,"June 29, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/340253,,,,,,
21-323259.3,21-323259.3,Miller Tools,"281-283 Lies Road East, CAROL STREAM, IL 60188",Retail,"",2.16,"","","",,"June 29, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/340254,,,,,,
21-315126.1,21-315126.1,Tractor Supply - Richlands,"211 Nathaniel Drive, RICHLANDS, NC 28574",Retail,"",0,0,"","",,"May 20, 2021","July 20, 2021","January 06, 2022",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/327725,,,,,,
21-325319.1,21-325319.1,Family Dollar - Iota,"21 Duson Avenue, IOTA, LA 70543",Retail,"",0,0,"","",,"June 14, 2021","July 06, 2021","November 05, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335069,,,,,,
21-325319.2,21-325319.2,Family Dollar - Blessing,"596 FM 616, BLESSING, TX 77419",Retail,"",0,0,"","",,"June 14, 2021","July 09, 2021","September 15, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335070,,,,,,
21-325319.3,21-325319.3,Family Dollar - Odem,"1711 Voss Avenue, odem, TX 78370",Retail,"",0,0,"","",,"June 14, 2021","July 09, 2021",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335071,,,,,,
21-325309.1,21-325309.1,Family Dollar - Dexter,"188 Spring Street, DEXTER, ME 04930",Retail,"",0,0,"","",,"June 14, 2021","July 08, 2021","August 03, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335081,,,,,,
21-325309.2,21-325309.2,Family Dollar - Water Valley,"409 Duncan Street, WATER VALLEY, MS 38965",Retail,"","","14,482",1,1972,,"June 14, 2021","July 06, 2021","August 03, 2021","$13,100.00",$0.00,"$58,800.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335082,,,,,,
21-325309.3,21-325309.3,Family Dollar - Eupora,"1960 Veterans Memorial Boulevard, EUPORA, MS 39744",Retail,"",0,0,"","",,"June 14, 2021","July 08, 2021","September 08, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335083,,,,,,
21-325309.4,21-325309.4,Family Dollar - Water Valley,"409 Duncan Street, WATER VALLEY, MS 38965",Retail,"",0,0,"","",,"June 14, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335084,,,,,,
21-325309.5,21-325309.5,Family Dollar - Water Valley,"409 Duncan Street, WATER VALLEY, MS 38965",Retail,"",0,0,"","",,"June 14, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335085,,,,,,
21-323862.1,21-323862.1,Sonic - Pleasant View,"105 Ren Mar Drive, PLEASANT VIEW, TN 37146",Retail,"","","1,891",1,2004,,"June 15, 2021","July 13, 2021","August 02, 2021","$18,300.00",$0.00,"$34,750.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335481,,,,,,
21-323862.2,21-323862.2,Sonic - Greenbrier,"2191 Highway 41 S, GREENBRIER, TN 37073",Retail -restaurant,"","","1,425",1,1997,,"June 15, 2021","July 13, 2021","August 02, 2021","$86,950.00",$0.00,"$41,100.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/335482,,,,,,
21-317406.73,21-317406.73,Dollar General-Hattiesburg,"100 West Red Street, HATTIESBURG, MS 39401",Retail,"",0,0,"","",,"June 04, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/332186,,,,,,
21-317406.74,21-317406.74,Dollar General-Selma,"1205 Broad Street, Selma, AL 36701",Retail,"",0,0,"","",,"June 04, 2021","July 06, 2021",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/332187,,,,,,
21-317406.75,21-317406.75,Dollar General Houtzdale,"705 McAteer Street, Houtzdale, PA 16651",Retail,"",0,0,"","",,"June 04, 2021","July 01, 2021",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/332188,,,,,,
21-317406.76,21-317406.76,Dollar General -FLINT,"3704 Fenton Road, FLINT, MI 48057",Retail,"",0,0,"","",,"June 04, 2021",,"November 01, 2021",,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/332207,,,,,,
21-323270.1,21-323270.1,Van Nuys - Burlington,"7886 Van Nuys Boulevard, VAN NUYS, CA 91402",Retail,"",0,0,"","",,"June 07, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/332545,,,,,,
21-321304.1,21-321304.1,FedEx Ground - Irondale,"4901 Alton Court, IRONDALE, AL 35210",Industrial,"","","113,190",1,2004,,"June 11, 2021","July 02, 2021","July 22, 2021","$10,000.00",$0.00,"$205,400.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/334331,,,,,,
21-321304.2,21-321304.2,FedEx Ground - Irondale,"4901 Alton Court, IRONDALE, AL 35210",Industrial,"",21.68,"","","",,"June 11, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/334333,,,,,,
21-321304.3,21-321304.3,FedEx Ground - Irondale,"4901 Alton Court, IRONDALE, AL 35210",Industrial,"",21.68,"","","",,"June 11, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/334334,,,,,,
21-323242.7,21-323242.7,Learning Care,"1090 Pebble Hill Rd, DOYLESTOWN, PA 189001",Recreational,"",0,0,"","",,"June 15, 2021",,,,,,,,,,,,1,Learning Care Group,,,https://www.SiteLynx.net/projects/335201,,,,,,
21-323242.8,21-323242.8,Learning Care,"36 W. Ridge Pike, LIMERICK, PA 19468",Recreational,"",0,0,"","",,"June 15, 2021",,,,,,,,,,,,1,Learning Care Group,,,https://www.SiteLynx.net/projects/335202,,,,,,
21-322552.1,21-322552.1,Dollar General,"8160 North Oak Trafficway, Kansas City Missouri",Retail,"","","9,200",1,2013,,"June 03, 2021","June 25, 2021","January 21, 2022","$16,650.00",$0.00,"$66,700.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331758,,,,,,
21-322552.2,21-322552.2,Dollar General,"5757 Troost Acvenue, Kansas City, MO 64110","Retail, office, industrial","","",0,"",2013,,"June 03, 2021","June 25, 2021","January 21, 2022","$14,900.00",$0.00,"$84,100.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331760,,,,,,
21-322552.3,21-322552.3,Dollar General,"4038 North Grand Boulevard, St. Louis, Missouri 63107","Retail, office, industrial","","",0,One,2013,,"June 03, 2021","June 25, 2021","January 21, 2022","$44,050.00",$0.00,"$74,860.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331761,,,,,,
21-322552.4,21-322552.4,Dollar General,"663 East Ferry Street, Buffalo, NY 14211",Retail,"",0,0,1,2014,,"June 03, 2021","June 25, 2021","January 21, 2022","$6,130.00",$0.00,"$22,460.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331762,,,,,,
21-322552.5,21-322552.5,Dollar General,"994 Brown Street, Akron, OH 44311",Retail,"",0,0,1,2013,,"June 03, 2021","July 16, 2021",,"$64,550.00",$0.00,"$40,964.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331763,,,,,,
21-322552.6,21-322552.6,Dollar General,"1596 Parsons Avenue, Columbus, OH 43207",Retail,"",0,0,1,2013,,"June 03, 2021","July 16, 2021",,"$53,600.00",$0.00,"$50,168.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331765,,,,,,
21-322552.7,21-322552.7,Dollar General,"25 South High Street, Glouster, OH 45732",Retail,"",0,0,1,2015,,"June 03, 2021","June 25, 2021",,"$3,000.00",$0.00,"$14,000.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331766,,,,,,
21-322552.8,21-322552.8,Dollar General,"508 East Main Street, Junction City, OH 43748",Retail,"",0,0,1,2014,,"June 03, 2021","June 25, 2021","January 21, 2022","$10,000.00",$0.00,"$12,400.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331767,,,,,,
21-322552.9,21-322552.9,Dollar General,"1455 Gears Road, Houston, TX 77067",Retail,"",0,0,1,2013,,"June 03, 2021","June 25, 2021","January 21, 2022",$0.00,$0.00,"$69,800.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331768,,,,,,
21-322552.10,21-322552.10,Dollar General,"1011 West Business Highway 83, Mission, TX 78572",Retail,"",0,0,1,2014,,"June 03, 2021","June 25, 2021","January 21, 2022","$5,000.00",$0.00,"$6,000.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331769,,,,,,
21-322552.11,21-322552.11,Dollar General,"21735 Aldine Westfield Road, Spring, TX 77073",Retail,"",0,0,1,2013,,"June 03, 2021","June 25, 2021","January 21, 2022","$8,700.00",$0.00,"$6,000.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331770,,,,,,
21-322552.12,21-322552.12,Dollar General,"2905 North Westgate Drive, Weslaco, TX 78599",Retail,"",0,0,1,2014,,"June 03, 2021","June 25, 2021","January 21, 2022","$8,900.00",$0.00,"$12,400.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/331771,,,,,,
